iter	MultiClass
167	0.1460277602
168	0.1456703864
169	0.1453489376
170	0.1451013133
171	0.1447963766
172	0.1442981796
173	0.1440127234
174	0.1435876742
175	0.143269337
176	0.1429529338
177	0.1425839951
178	0.1423224644
179	0.1417069956
180	0.1412222591
181	0.1409123904
182	0.1405201636
183	0.1400911588
184	0.139703204
185	0.1394655415
186	0.1392226848
187	0.1390630052
188	0.1387890438
189	0.1383422416
190	0.1378930696
191	0.1374089448
192	0.1369281734
193	0.1367675346
194	0.1364011016
195	0.1360787751
196	0.1359556233
197	0.1356458091
198	0.1351670312
199	0.1347844875
200	0.1344920428
201	0.1341063531
202	0.1339096785
203	0.1337675967
204	0.1332177701
205	0.1328963543
206	0.1325326822
207	0.1322213043
208	0.1318760896
209	0.1315695348
210	0.1311459079
211	0.1308482795
212	0.1303610862
213	0.1300681751
214	0.1296621723
215	0.1294340438
216	0.1289031728
217	0.1286605629
218	0.128414095
219	0.1278078136
220	0.1274891101
221	0.1273359747
222	0.1270989837
223	0.1268803511
224	0.1266539116
225	0.1264517145
226	0.1261474975
227	0.1259532937
228	0.1254324096
229	0.1251620706
230	0.1248585953
231	0.1244518493
232	0.123950256
233	0.1237910354
234	0.123465279
235	0.1229928936
236	0.1227418244
237	0.1223735883
238	0.1221211705
239	0.1219092399
240	0.1215874169
241	0.1212241631
242	0.1210779729
243	0.1208142636
244	0.1206087949
245	0.1202540021
246	0.120115813
247	0.1196819561
248	0.1193705309
249	0.1190715633
250	0.1188957975
251	0.1186059657
252	0.1183721622
253	0.1179143615
254	0.1174047562
255	0.1170160778
256	0.1166311484
257	0.1164186544
258	0.1161825074
259	0.115969394
260	0.1157354952
261	0.1155123202
262	0.1151813791
263	0.1149072377
264	0.1145623269
265	0.1143589975
266	0.1141151362
267	0.113911864
268	0.1136667286
269	0.1134311953
270	0.1131679092
271	0.112867554
272	0.1125981831
273	0.1123048716
274	0.1121655657
275	0.1118896616
276	0.1117171471
277	0.1114190776
278	0.1111495737
279	0.1108188578
280	0.1105687583
281	0.1104289302
282	0.1102301137
283	0.1101548229
284	0.1097384433
285	0.1095684297
286	0.1093622025
287	0.1090864951
288	0.108881402
289	0.1087066539
290	0.1085108557
291	0.1082623133
292	0.1079178084
293	0.1077056836
294	0.1075199406
295	0.1070262694
296	0.1066717588
297	0.1065331373
298	0.1064052608
299	0.1061078445
300	0.1059703876
301	0.1055410401
302	0.1053882553
303	0.1051392534
304	0.1049970152
305	0.1047117028
306	0.1045505217
307	0.1044058653
308	0.1042106215
309	0.1039723422
310	0.1038333254
311	0.1035598572
312	0.1033902101
313	0.1032127035
314	0.1030415829
315	0.1029163635
316	0.102697378
317	0.1025382466
318	0.1023981442
319	0.1020984173
320	0.10176293
321	0.1013903434
322	0.1011535496
323	0.100879691
324	0.1006996588
325	0.1004982364
326	0.1003531817
327	0.1000408156
328	0.09982832229
329	0.09969705129
330	0.09959346941
331	0.09937464125
332	0.09921536921
333	0.09903166867
334	0.09882451297
335	0.09863841636
336	0.09841122066
337	0.09817443974
338	0.09799130297
339	0.09788488822
340	0.09779943071
341	0.09757666307
342	0.09730763625
343	0.09714876475
344	0.09699512048
345	0.09681643133
346	0.09657366356
347	0.09641556942
348	0.09615289746
349	0.09599092017
350	0.09590817409
351	0.09578162289
352	0.09564585324
353	0.09548263898
354	0.09515957386
355	0.0950486867
356	0.09491830821
357	0.09469317892
358	0.09463140994
359	0.09442976102
360	0.09424288253
361	0.09400129978
362	0.09385478197
363	0.09366707477
364	0.09346872583
365	0.09324395587
366	0.09313580804
367	0.09283895954
368	0.09259086162
369	0.09237906371
370	0.09211408042
371	0.09177934356
372	0.09162404676
373	0.09134947152
374	0.09106813263
375	0.09078902105
376	0.09068800648
377	0.09054984219
378	0.09029010234
379	0.09016215249
380	0.08998574491
381	0.08987699647
382	0.08968014952
383	0.0894438664
384	0.08925907477
385	0.08918644639
386	0.08900124094
387	0.08893142168
388	0.08881267704
389	0.08859644486
390	0.08839697328
391	0.08821297551
392	0.08803695046
393	0.08791326713
394	0.08767988361
395	0.08754110861
396	0.0874295086
397	0.08734367458
398	0.08716564089
399	0.08693369024
400	0.08678862851
401	0.08674249306
402	0.08657621671
403	0.08648557919
404	0.08630490927
405	0.0861020982
406	0.08594597976
407	0.08582659847
408	0.08568585625
409	0.08528538886
410	0.08512112486
411	0.08499376371
412	0.08474719246
413	0.08450451979
414	0.08427453492
415	0.08400640114
416	0.08377864106
417	0.08361545499
418	0.08342752671
419	0.08326014378
420	0.08313058631
421	0.08294093721
422	0.08281980716
423	0.08275295291
424	0.08255910752
425	0.08244478853
426	0.08231844979
427	0.08218539022
428	0.08209576159
429	0.08200084606
430	0.08185908551
431	0.08168661298
432	0.08157476334
433	0.08141984548
434	0.08129974643
435	0.08105243449
436	0.08082599744
437	0.08075828196
438	0.08058319813
439	0.08051393589
440	0.08042767269
441	0.0802516837
442	0.0800865116
443	0.08000118122
444	0.07981433148
445	0.07968419779
446	0.07951890229
447	0.07946297215
448	0.07932815642
449	0.07915816955
450	0.07904559278
451	0.0788801856
452	0.07877815698
453	0.07870568796
454	0.07861396173
455	0.07848997598
456	0.07840884824
457	0.07829703142
458	0.07810742644
459	0.07799367572
460	0.07793767158
461	0.07777952932
462	0.07766110415
463	0.07752355303
464	0.07737735656
465	0.07715186174
466	0.07708620326
467	0.07690227005
468	0.07675245155
469	0.07657926061
470	0.07644537462
471	0.07642429615
472	0.07635071504
473	0.07619816046
474	0.07606761689
475	0.0758894937
476	0.07576007937
477	0.07554016263
478	0.075397054
479	0.07527989617
480	0.07512837535
481	0.07504101653
482	0.07489375105
483	0.07486529045
484	0.07477954849
485	0.0745522364
486	0.07447478166
487	0.0743767637
488	0.07425936662
489	0.07405399103
490	0.07390990655
491	0.07380241501
492	0.073749393
493	0.07361901129
494	0.07353526344
495	0.07337508054
496	0.07319841314
497	0.07301885368
498	0.07290267861
499	0.0728433023
